subj,session,time,person,chat,form,gloss,obj,gs_rel,context,spoken_obj,gestured_obj,referent,comments
43,5,0:28:21,parent,is it under the pin+wheel ?,point,pinwheel,pinwheel,Reinforce,,pinwheel,pinwheel,pinwheel,
43,5,,child,no .,,,,,,,,,
43,5,,child,no .,shake,no,,Reinforce,,,,,
43,5,,parent,no ?,,,,,,,,,
43,5,,parent,is it under the water+melon ?,,,,,,watermelon,,watermelon,
43,5,,child,no .,,,,,,,,,
43,5,,parent,no ?,,,,,,,,,
43,5,,parent,is it under my coffee cup ?,,,,,,coffee; cup,,coffee; cup,
43,5,,child,no .,,,,,,,,,
43,5,,parent,where # where's my nose ?,,,,,,nose,,nose,
43,5,,child,who is that ?,,,,,,,,,
43,5,0:28:37,parent,I think that's # &uh # Jesus or Don or somebody .,point,men on other side of fence,men on other side of fence,Unclear,,,,,
43,5,0:28:43,parent,"Lincoln, where's my nose ?",flip,don't know,,Reinforce,,child; nose,,child; nose,
43,5,,parent,I need my nose so I can smell .,,,,,,nose,,nose,
43,5,,parent,can I have it back please ?,,,,,,,,,
43,5,,child,no .,,,,,,,,,
43,5,,parent,please ?,,,,,,,,,
43,5,,child,no .,,,,,,,,,
43,5,,child,I +...,,,,,,,,,
43,5,,child,here .,,,,,,,,,
43,5,0:28:57,parent,it's not under the dump+truck .,shake,no,,Reinforce,,dumptruck,,dumptruck,
43,5,0:28:59,child,no .,shake,no,,Reinforce,,,,,
43,5,,parent,no ?,shake,no,,Reinforce,,,,,
43,5,0:29:02,child,no .,shake,no,,Reinforce,,,,,
43,5,,parent,is it under the watering can ?,,,,,,watering_can,,watering_can,
43,5,,child,no .,,,,,,,,,
43,5,,parent,no .,,,,,,,,,
43,5,,child,no .,,,,,,,,,
43,5,,parent,is it in your mouth ?,,,,,,mouth,,mouth,
43,5,,child,yes .,,,,,,,,,
43,5,,parent,can I have it back ?,,,,,,,,,
43,5,,child,here .,,,,,,,,,
43,5,,parent,thank+you .,,,,,,,,,
43,5,,parent,thank+you .,,,,,,,,,
43,5,,parent,that feels much better .,,,,,,,,,
43,5,,parent,"no, you already did it once .",,,,,,,,,
43,5,,parent,"okay, come here .",,,,,,,,,
43,5,,child,going to get you .,,,,,,,,,
43,5,,parent,be gentle with my nose .,,,,,,nose,,nose,
43,5,0:29:41,parent,&oh !,flip,exclamation,,Reinforce,,,,,
43,5,0:29:42,parent,,palm,M's nose which she is pretending is missing,M's nose which she is pretending is missing,Only Gesture,,,nose,nose,
43,5,,parent,where'd my nose go ?,flip~,exclamation,,Reinforce,,nose,,nose,
43,5,0:29:44,child,can I catch it ?,,,,,,,,,
43,5,0:29:44,parent,,flip+shake,don't know+no,,Only Gesture,,,,,
43,5,0:29:45,parent,,palm,M's nose which she is pretending is missing,M's nose which she is pretending is missing,Only Gesture,,,nose,nose,
43,5,,parent,where is it ?,flip~,don&#8217;t know,,Reinforce,,,,,
43,5,,parent,it's gone .,,,,,,,,,
43,5,,child,&um .,,,,,,,,,
43,5,,child,under the pin+wheel ?,,,,,,pinwheel,,pinwheel,
43,5,0:29:55,child,no .,,,,,,,,,
43,5,0:29:55,parent,no .,flip+shake,emphasis+no,,Emphasis,,,,,
43,5,,child,under the water+melon ?,,,,,,watermelon,,watermelon,
43,5,,child,no .,,,,,,,,,
43,5,,parent,no .,,,,,,,,,
43,5,0:30:04,child,under this ?,point,dumptruck,dumptruck,Disambiguate,,,dumptruck,dumptruck,
43,5,0:30:04,child,no .,shake,no,,Reinforce,,,,,
43,5,0:30:04,parent,no .,shake,no,,Reinforce,,,,,
43,5,,parent,under the watering can ?,,,,,,watering_can,,watering_can,
43,5,,child,no .,,,,,,,,,
43,5,,parent,no .,,,,,,,,,
43,5,,parent,under my coffee cup ?,,,,,,coffee; cup,,coffee; cup,
43,5,,child,no .,,,,,,,,,
43,5,,parent,is it under this little dried up leaf ?,,,,,,leaf,,leaf,
43,5,,child,yes .,,,,,,,,,
43,5,0:30:16,parent,yes ?,,,,,,,,,
43,5,,parent,I don't see it .,,,,,,,,,
43,5,,child,no .,,,,,,,,,
43,5,,parent,no .,,,,,,,,,
43,5,,child,no .,,,,,,,,,
43,5,0:30:21,parent,is it in your mouth ?,point,C's mouth,C's mouth,Reinforce,,mouth,mouth,mouth,
43,5,,child,yes .,,,,,,,,,
43,5,,parent,can I have it back please ?,,,,,,,,,
43,5,,child,&xxx no .,shake,no,,Reinforce,,,,,
